VALUE,CLASSNAMES,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,255,255,255,1.000000,1.000000,1.000000
11,Open Water,0,0,255,0.000000,0.000000,1.000000
12,Snow/Ice,159,161,240,0.623529,0.631373,0.941176
13,Developed-Upland Deciduous Forest,64,61,168,0.250980,0.239216,0.658824
14,Developed-Upland Evergreen Forest,68,79,137,0.266667,0.309804,0.537255
15,Developed-Upland Mixed Forest,102,119,205,0.400000,0.466667,0.803922
16,Developed-Upland Herbaceous,122,142,245,0.478431,0.556863,0.960784
17,Developed-Upland Shrubland,158,170,215,0.619608,0.666667,0.843137
21,Developed - Open Space,253,204,211,0.992157,0.800000,0.827451
22,Developed-Low Intensity,255,122,143,1.000000,0.478431,0.560784
23,Developed-Medium Intensity,253,44,79,0.992157,0.172549,0.309804
24,Developed-High Intensity,173,0,28,0.678431,0.000000,0.109804
25,Developed-Roads,1,1,1,0.003921,0.003921,0.003921
31,Barren,191,191,191,0.749020,0.749020,0.749020
32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,230,232,250,0.901961,0.909804,0.980392
61,NASS-Vineyard,168,0,132,0.658824,0.000000,0.517647
63,NASS-Row Crop-Close Grown Crop,255,245,140,1.000000,0.960784,0.549020
64,NASS-Row Crop,250,255,119,0.980392,1.000000,0.466667
65,NASS-Close Grown Crop,255,237,119,1.000000,0.929412,0.466667
68,NASS-Wheat,250,227,163,0.980392,0.890196,0.639216
69,NASS-Aquaculture,210,255,237,0.823529,1.000000,0.929412
82,Cultivated Crops,255,255,120,1.000000,1.000000,0.470588
100,Sparse Vegetation Canopy,122,127,117,0.478431,0.498039,0.458824
110,Tree Cover = 10%,204,255,153,0.800000,1.000000,0.600000
111,Tree Cover = 11%,202,252,151,0.792157,0.988235,0.592157
112,Tree Cover = 12%,199,250,147,0.780392,0.980392,0.576471
113,Tree Cover = 13%,194,247,143,0.760784,0.968627,0.560784
114,Tree Cover = 14%,192,245,142,0.752941,0.960784,0.556863
115,Tree Cover = 15%,188,242,138,0.737255,0.949020,0.541176
116,Tree Cover = 16%,183,240,134,0.717647,0.941176,0.525490
117,Tree Cover = 17%,181,237,133,0.709804,0.929412,0.521569
118,Tree Cover = 18%,178,235,129,0.698039,0.921569,0.505882
119,Tree Cover = 19%,173,232,125,0.678431,0.909804,0.490196
120,Tree Cover = 20%,173,232,125,0.678431,0.909804,0.490196
121,Tree Cover = 21%,170,230,122,0.666667,0.901961,0.478431
122,Tree Cover = 22%,165,227,118,0.647059,0.890196,0.462745
123,Tree Cover = 23%,163,224,117,0.639216,0.878431,0.458824
124,Tree Cover = 24%,160,222,113,0.627451,0.870588,0.443137
125,Tree Cover = 25%,155,219,110,0.607843,0.858824,0.431373
126,Tree Cover = 26%,154,217,108,0.603922,0.850980,0.423529
127,Tree Cover = 27%,150,214,105,0.588235,0.839216,0.411765
128,Tree Cover = 28%,146,212,102,0.572549,0.831373,0.400000
129,Tree Cover = 29%,144,209,100,0.564706,0.819608,0.392157
130,Tree Cover = 30%,143,209,98,0.560784,0.819608,0.384314
131,Tree Cover = 31%,138,207,95,0.541176,0.811765,0.372549
132,Tree Cover = 32%,136,204,94,0.533333,0.800000,0.368627
133,Tree Cover = 33%,133,201,91,0.521569,0.788235,0.356863
134,Tree Cover = 34%,128,199,88,0.501961,0.780392,0.345098
135,Tree Cover = 35%,127,196,86,0.498039,0.768627,0.337255
136,Tree Cover = 36%,124,194,83,0.486275,0.760784,0.325490
137,Tree Cover = 37%,119,191,80,0.466667,0.749020,0.313725
138,Tree Cover = 38%,118,189,79,0.462745,0.741176,0.309804
139,Tree Cover = 39%,115,186,76,0.450980,0.729412,0.298039
140,Tree Cover = 40%,112,186,74,0.439216,0.729412,0.290196
141,Tree Cover = 41%,110,184,73,0.431373,0.721569,0.286275
142,Tree Cover = 42%,107,181,71,0.419608,0.709804,0.278431
143,Tree Cover = 43%,103,179,68,0.403922,0.701961,0.266667
144,Tree Cover = 44%,101,176,67,0.396078,0.690196,0.262745
145,Tree Cover = 45%,99,173,64,0.388235,0.678431,0.250980
146,Tree Cover = 46%,94,171,62,0.368627,0.670588,0.243137
147,Tree Cover = 47%,93,168,61,0.364706,0.658824,0.239216
148,Tree Cover = 48%,90,166,58,0.352941,0.650980,0.227451
149,Tree Cover = 49%,86,163,55,0.337255,0.639216,0.215686
150,Tree Cover = 50%,86,163,55,0.337255,0.639216,0.215686
151,Tree Cover = 51%,84,161,53,0.329412,0.631373,0.207843
152,Tree Cover = 52%,79,158,51,0.309804,0.619608,0.200000
153,Tree Cover = 53%,78,156,50,0.305882,0.611765,0.196078
154,Tree Cover = 54%,76,153,47,0.298039,0.600000,0.184314
155,Tree Cover = 55%,71,150,45,0.278431,0.588235,0.176471
156,Tree Cover = 56%,69,148,43,0.270588,0.580392,0.168627
157,Tree Cover = 57%,68,145,42,0.266667,0.568627,0.164706
158,Tree Cover = 58%,64,143,40,0.250980,0.560784,0.156863
159,Tree Cover = 59%,62,140,38,0.243137,0.549020,0.149020
160,Tree Cover = 60%,62,140,38,0.243137,0.549020,0.149020
161,Tree Cover = 61%,58,138,36,0.227451,0.541176,0.141176
162,Tree Cover = 62%,56,135,34,0.219608,0.529412,0.133333
163,Tree Cover = 63%,55,133,33,0.215686,0.521569,0.129412
164,Tree Cover = 64%,51,130,31,0.200000,0.509804,0.121569
165,Tree Cover = 65%,49,128,29,0.192157,0.501961,0.113725
166,Tree Cover = 66%,48,125,29,0.188235,0.490196,0.113725
167,Tree Cover = 67%,44,122,27,0.172549,0.478431,0.105882
168,Tree Cover = 68%,43,120,25,0.168627,0.470588,0.098039
169,Tree Cover = 69%,42,117,25,0.164706,0.458824,0.098039
170,Tree Cover = 70%,39,117,23,0.152941,0.458824,0.090196
171,Tree Cover = 71%,37,115,22,0.145098,0.450980,0.086275
172,Tree Cover = 72%,36,112,21,0.141176,0.439216,0.082353
173,Tree Cover = 73%,33,110,20,0.129412,0.431373,0.078431
174,Tree Cover = 74%,32,107,18,0.125490,0.419608,0.070588
175,Tree Cover = 75%,31,105,18,0.121569,0.411765,0.070588
176,Tree Cover = 76%,28,102,16,0.109804,0.400000,0.062745
177,Tree Cover = 77%,26,99,15,0.101961,0.388235,0.058824
178,Tree Cover = 78%,26,97,15,0.101961,0.380392,0.058824
179,Tree Cover = 79%,23,94,13,0.090196,0.368627,0.050980
180,Tree Cover = 80%,22,94,12,0.086275,0.368627,0.047059
181,Tree Cover = 81%,21,92,12,0.082353,0.360784,0.047059
182,Tree Cover = 82%,19,89,11,0.074510,0.349020,0.043137
183,Tree Cover = 83%,17,87,10,0.066667,0.341176,0.039216
184,Tree Cover = 84%,17,84,9,0.066667,0.329412,0.035294
185,Tree Cover = 85%,14,82,8,0.054902,0.321569,0.031373
186,Tree Cover = 86%,13,79,7,0.050980,0.309804,0.027451
187,Tree Cover = 87%,13,77,7,0.050980,0.301961,0.027451
188,Tree Cover = 88%,10,74,6,0.039216,0.290196,0.023529
189,Tree Cover = 89%,9,71,5,0.035294,0.278431,0.019608
190,Tree Cover = 90%,9,71,5,0.035294,0.278431,0.019608
191,Tree Cover = 91%,7,69,4,0.027451,0.270588,0.015686
192,Tree Cover = 92%,6,66,3,0.023529,0.258824,0.011765
193,Tree Cover = 93%,6,64,3,0.023529,0.250980,0.011765
194,Tree Cover = 94%,4,61,2,0.015686,0.239216,0.007843
195,Tree Cover = 95%,4,59,2,0.015686,0.231373,0.007843
196,Tree Cover = 96%,3,56,2,0.011765,0.219608,0.007843
197,Tree Cover = 97%,2,54,1,0.007843,0.211765,0.003922
198,Tree Cover = 98%,1,51,1,0.003922,0.200000,0.003922
199,Tree Cover >= 99%,0,51,0,0.000000,0.200000,0.000000
210,Shrub Cover = 10%,212,178,125,0.831373,0.698039,0.490196
211,Shrub Cover = 11%,212,176,123,0.831373,0.690196,0.482353
212,Shrub Cover = 12%,212,175,123,0.831373,0.686275,0.482353
213,Shrub Cover = 13%,212,174,121,0.831373,0.682353,0.474510
214,Shrub Cover = 14%,209,170,119,0.819608,0.666667,0.466667
215,Shrub Cover = 15%,209,168,117,0.819608,0.658824,0.458824
216,Shrub Cover = 16%,209,166,117,0.819608,0.650980,0.458824
217,Shrub Cover = 17%,209,165,115,0.819608,0.647059,0.450980
218,Shrub Cover = 18%,209,164,115,0.819608,0.643137,0.450980
219,Shrub Cover = 19%,209,161,113,0.819608,0.631373,0.443137
220,Shrub Cover = 20%,207,159,112,0.811765,0.623529,0.439216
221,Shrub Cover = 21%,207,156,109,0.811765,0.611765,0.427451
222,Shrub Cover = 22%,207,155,109,0.811765,0.607843,0.427451
223,Shrub Cover = 23%,207,154,107,0.811765,0.603922,0.419608
224,Shrub Cover = 24%,207,152,107,0.811765,0.596078,0.419608
225,Shrub Cover = 25%,207,151,105,0.811765,0.592157,0.411765
226,Shrub Cover = 26%,204,147,104,0.800000,0.576471,0.407843
227,Shrub Cover = 27%,204,146,102,0.800000,0.572549,0.400000
228,Shrub Cover = 28%,204,145,102,0.800000,0.568627,0.400000
229,Shrub Cover = 29%,204,142,100,0.800000,0.556863,0.392157
230,Shrub Cover = 30%,204,142,100,0.800000,0.556863,0.392157
231,Shrub Cover = 31%,201,137,97,0.788235,0.537255,0.380392
232,Shrub Cover = 32%,201,137,97,0.788235,0.537255,0.380392
233,Shrub Cover = 33%,201,134,95,0.788235,0.525490,0.372549
234,Shrub Cover = 34%,201,134,95,0.788235,0.525490,0.372549
235,Shrub Cover = 35%,201,132,95,0.788235,0.517647,0.372549
236,Shrub Cover = 36%,199,129,91,0.780392,0.505882,0.356863
237,Shrub Cover = 37%,199,127,91,0.780392,0.498039,0.356863
238,Shrub Cover = 38%,199,126,90,0.780392,0.494118,0.352941
239,Shrub Cover = 39%,199,126,90,0.780392,0.494118,0.352941
240,Shrub Cover = 40%,199,123,88,0.780392,0.482353,0.345098
241,Shrub Cover = 41%,196,121,86,0.768627,0.474510,0.337255
242,Shrub Cover = 42%,196,118,84,0.768627,0.462745,0.329412
243,Shrub Cover = 43%,196,118,84,0.768627,0.462745,0.329412
244,Shrub Cover = 44%,196,115,82,0.768627,0.450980,0.321569
245,Shrub Cover = 45%,196,115,82,0.768627,0.450980,0.321569
246,Shrub Cover = 46%,194,110,79,0.760784,0.431373,0.309804
247,Shrub Cover = 47%,194,110,79,0.760784,0.431373,0.309804
248,Shrub Cover = 48%,194,110,79,0.760784,0.431373,0.309804
249,Shrub Cover = 49%,194,107,78,0.760784,0.419608,0.305882
250,Shrub Cover = 50%,191,105,77,0.749020,0.411765,0.301961
251,Shrub Cover = 51%,191,102,75,0.749020,0.400000,0.294118
252,Shrub Cover = 52%,191,102,75,0.749020,0.400000,0.294118
253,Shrub Cover = 53%,191,100,73,0.749020,0.392157,0.286275
254,Shrub Cover = 54%,189,97,72,0.741176,0.380392,0.282353
255,Shrub Cover = 55%,189,96,70,0.741176,0.376471,0.274510
256,Shrub Cover = 56%,189,94,70,0.741176,0.368627,0.274510
257,Shrub Cover = 57%,189,94,70,0.741176,0.368627,0.274510
258,Shrub Cover = 58%,189,92,68,0.741176,0.360784,0.266667
259,Shrub Cover = 59%,186,89,67,0.729412,0.349020,0.262745
260,Shrub Cover = 60%,186,87,65,0.729412,0.341176,0.254902
261,Shrub Cover = 61%,186,85,65,0.729412,0.333333,0.254902
262,Shrub Cover = 62%,186,84,63,0.729412,0.329412,0.247059
263,Shrub Cover = 63%,184,83,62,0.721569,0.325490,0.243137
264,Shrub Cover = 64%,184,81,62,0.721569,0.317647,0.243137
265,Shrub Cover = 65%,184,79,61,0.721569,0.309804,0.239216
266,Shrub Cover = 66%,181,76,60,0.709804,0.298039,0.235294
267,Shrub Cover = 67%,181,74,58,0.709804,0.290196,0.227451
268,Shrub Cover = 68%,181,74,58,0.709804,0.290196,0.227451
269,Shrub Cover = 69%,181,72,58,0.709804,0.282353,0.227451
270,Shrub Cover = 70%,179,70,55,0.701961,0.274510,0.215686
271,Shrub Cover = 71%,179,68,55,0.701961,0.266667,0.215686
272,Shrub Cover = 72%,179,66,54,0.701961,0.258824,0.211765
273,Shrub Cover = 73%,179,64,54,0.701961,0.250980,0.211765
274,Shrub Cover = 74%,176,63,53,0.690196,0.247059,0.207843
275,Shrub Cover = 75%,176,61,51,0.690196,0.239216,0.200000
276,Shrub Cover = 76%,176,59,51,0.690196,0.231373,0.200000
277,Shrub Cover = 77%,176,58,49,0.690196,0.227451,0.192157
278,Shrub Cover = 78%,173,55,49,0.678431,0.215686,0.192157
279,Shrub Cover = 79%,173,55,49,0.678431,0.215686,0.192157
280,Shrub Cover = 80%,173,51,47,0.678431,0.200000,0.184314
281,Shrub Cover = 81%,171,50,46,0.670588,0.196078,0.180392
282,Shrub Cover = 82%,171,47,44,0.670588,0.184314,0.172549
283,Shrub Cover = 83%,171,47,44,0.670588,0.184314,0.172549
284,Shrub Cover = 84%,171,44,44,0.670588,0.172549,0.172549
285,Shrub Cover = 85%,168,42,42,0.658824,0.164706,0.164706
286,Shrub Cover = 86%,168,40,43,0.658824,0.156863,0.168627
287,Shrub Cover = 87%,168,39,41,0.658824,0.152941,0.160784
288,Shrub Cover = 88%,166,36,41,0.650980,0.141176,0.160784
289,Shrub Cover = 89%,166,35,39,0.650980,0.137255,0.152941
290,Shrub Cover = 90%,166,31,38,0.650980,0.121569,0.149020
291,Shrub Cover = 91%,163,29,36,0.639216,0.113725,0.141176
292,Shrub Cover = 92%,163,28,37,0.639216,0.109804,0.145098
293,Shrub Cover = 93%,163,24,36,0.639216,0.094118,0.141176
294,Shrub Cover = 94%,163,23,37,0.639216,0.090196,0.145098
295,Shrub Cover = 95%,161,19,33,0.631373,0.074510,0.129412
296,Shrub Cover = 96%,161,16,33,0.631373,0.062745,0.129412
297,Shrub Cover = 97%,161,13,33,0.631373,0.050980,0.129412
298,Shrub Cover = 98%,158,9,32,0.619608,0.035294,0.125490
299,Shrub Cover >= 99%,158,0,32,0.619608,0.000000,0.125490
310,Herb Cover = 10%,255,204,102,1.000000,0.800000,0.400000
311,Herb Cover = 11%,255,204,102,1.000000,0.800000,0.400000
312,Herb Cover = 12%,255,201,102,1.000000,0.788235,0.400000
313,Herb Cover = 13%,255,201,102,1.000000,0.788235,0.400000
314,Herb Cover = 14%,255,201,99,1.000000,0.788235,0.388235
315,Herb Cover = 15%,255,198,99,1.000000,0.776471,0.388235
316,Herb Cover = 16%,255,197,97,1.000000,0.772549,0.380392
317,Herb Cover = 17%,255,197,97,1.000000,0.772549,0.380392
318,Herb Cover = 18%,255,193,94,1.000000,0.756863,0.368627
319,Herb Cover = 19%,255,193,94,1.000000,0.756863,0.368627
320,Herb Cover = 20%,255,192,92,1.000000,0.752941,0.360784
321,Herb Cover = 21%,255,190,92,1.000000,0.745098,0.360784
322,Herb Cover = 22%,255,190,92,1.000000,0.745098,0.360784
323,Herb Cover = 23%,255,189,89,1.000000,0.741176,0.349020
324,Herb Cover = 24%,255,186,89,1.000000,0.729412,0.349020
325,Herb Cover = 25%,255,185,87,1.000000,0.725490,0.341176
326,Herb Cover = 26%,255,185,87,1.000000,0.725490,0.341176
327,Herb Cover = 27%,255,181,84,1.000000,0.709804,0.329412
328,Herb Cover = 28%,255,181,84,1.000000,0.709804,0.329412
329,Herb Cover = 29%,255,180,82,1.000000,0.705882,0.321569
330,Herb Cover = 30%,255,177,82,1.000000,0.694118,0.321569
331,Herb Cover = 31%,255,176,79,1.000000,0.690196,0.309804
332,Herb Cover = 32%,255,176,79,1.000000,0.690196,0.309804
333,Herb Cover = 33%,255,173,79,1.000000,0.678431,0.309804
334,Herb Cover = 34%,255,172,77,1.000000,0.674510,0.301961
335,Herb Cover = 35%,255,172,77,1.000000,0.674510,0.301961
336,Herb Cover = 36%,255,171,74,1.000000,0.670588,0.290196
337,Herb Cover = 37%,255,167,74,1.000000,0.654902,0.290196
338,Herb Cover = 38%,255,166,71,1.000000,0.650980,0.278431
339,Herb Cover = 39%,255,166,71,1.000000,0.650980,0.278431
340,Herb Cover = 40%,255,162,69,1.000000,0.635294,0.270588
341,Herb Cover = 41%,255,162,69,1.000000,0.635294,0.270588
342,Herb Cover = 42%,255,161,66,1.000000,0.631373,0.258824
343,Herb Cover = 43%,255,158,66,1.000000,0.619608,0.258824
344,Herb Cover = 44%,255,158,66,1.000000,0.619608,0.258824
345,Herb Cover = 45%,255,156,64,1.000000,0.611765,0.250980
346,Herb Cover = 46%,255,153,64,1.000000,0.600000,0.250980
347,Herb Cover = 47%,255,152,61,1.000000,0.596078,0.239216
348,Herb Cover = 48%,255,152,61,1.000000,0.596078,0.239216
349,Herb Cover = 49%,255,147,59,1.000000,0.576471,0.231373
350,Herb Cover = 50%,255,147,59,1.000000,0.576471,0.231373
351,Herb Cover = 51%,255,146,56,1.000000,0.572549,0.219608
352,Herb Cover = 52%,255,142,56,1.000000,0.556863,0.219608
353,Herb Cover = 53%,255,141,54,1.000000,0.552941,0.211765
354,Herb Cover = 54%,255,141,54,1.000000,0.552941,0.211765
355,Herb Cover = 55%,255,137,54,1.000000,0.537255,0.211765
356,Herb Cover = 56%,255,136,51,1.000000,0.533333,0.200000
357,Herb Cover = 57%,255,136,51,1.000000,0.533333,0.200000
358,Herb Cover = 58%,255,135,48,1.000000,0.529412,0.188235
359,Herb Cover = 59%,255,131,48,1.000000,0.513725,0.188235
360,Herb Cover = 60%,255,130,46,1.000000,0.509804,0.180392
361,Herb Cover = 61%,255,130,46,1.000000,0.509804,0.180392
362,Herb Cover = 62%,255,124,43,1.000000,0.486275,0.168627
363,Herb Cover = 63%,255,124,43,1.000000,0.486275,0.168627
364,Herb Cover = 64%,255,123,41,1.000000,0.482353,0.160784
365,Herb Cover = 65%,255,119,41,1.000000,0.466667,0.160784
366,Herb Cover = 66%,255,119,41,1.000000,0.466667,0.160784
367,Herb Cover = 67%,255,118,38,1.000000,0.462745,0.149020
368,Herb Cover = 68%,255,114,38,1.000000,0.447059,0.149020
369,Herb Cover = 69%,255,112,36,1.000000,0.439216,0.141176
370,Herb Cover = 70%,255,112,36,1.000000,0.439216,0.141176
371,Herb Cover = 71%,255,107,33,1.000000,0.419608,0.129412
372,Herb Cover = 72%,255,107,33,1.000000,0.419608,0.129412
373,Herb Cover = 73%,255,105,31,1.000000,0.411765,0.121569
374,Herb Cover = 74%,255,102,31,1.000000,0.400000,0.121569
375,Herb Cover = 75%,255,100,28,1.000000,0.392157,0.109804
376,Herb Cover = 76%,255,100,28,1.000000,0.392157,0.109804
377,Herb Cover = 77%,255,100,28,1.000000,0.392157,0.109804
378,Herb Cover = 78%,255,94,25,1.000000,0.368627,0.098039
379,Herb Cover = 79%,255,94,25,1.000000,0.368627,0.098039
380,Herb Cover = 80%,255,93,23,1.000000,0.364706,0.090196
381,Herb Cover = 81%,255,89,23,1.000000,0.349020,0.090196
382,Herb Cover = 82%,255,87,20,1.000000,0.341176,0.078431
383,Herb Cover = 83%,255,87,20,1.000000,0.341176,0.078431
384,Herb Cover = 84%,255,81,18,1.000000,0.317647,0.070588
385,Herb Cover = 85%,255,81,18,1.000000,0.317647,0.070588
386,Herb Cover = 86%,255,79,15,1.000000,0.309804,0.058824
387,Herb Cover = 87%,255,75,15,1.000000,0.294118,0.058824
388,Herb Cover = 88%,255,75,15,1.000000,0.294118,0.058824
389,Herb Cover = 89%,255,73,13,1.000000,0.286275,0.050980
390,Herb Cover = 90%,255,69,13,1.000000,0.270588,0.050980
391,Herb Cover = 91%,255,67,10,1.000000,0.262745,0.039216
392,Herb Cover = 92%,255,67,10,1.000000,0.262745,0.039216
393,Herb Cover = 93%,255,61,8,1.000000,0.239216,0.031373
394,Herb Cover = 94%,255,61,8,1.000000,0.239216,0.031373
395,Herb Cover = 95%,255,59,5,1.000000,0.231373,0.019608
396,Herb Cover = 96%,255,55,5,1.000000,0.215686,0.019608
397,Herb Cover = 97%,255,53,3,1.000000,0.207843,0.011765
398,Herb Cover = 98%,255,53,3,1.000000,0.207843,0.011765
399,Herb Cover >= 99%,255,51,0,1.000000,0.200000,0.000000
