VALUE,EVT_NAME,EVT_LF,EVT_PHYS,R,G,B,RED,GREEN,BLUE
7311,North-Central Interior Dry Oak Forest and Woodland,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7312,Ouachita Montane Oak Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7313,North-Central Interior Beech-Maple Forest,Tree,Hardwood,0,92,0,0,0.360784,0
7314,North-Central Interior Maple-Basswood Forest,Tree,Hardwood,171,255,138,0.670588,1,0.541176
7315,Southern Appalachian Oak Forest,Tree,Hardwood,13,69,133,0.05098,0.270588,0.521569
7316,Southern Piedmont Mesic Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7317,Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,Hardwood,13,69,133,0.05098,0.270588,0.521569
7318,Southern and Central Appalachian Cove Forest,Tree,Hardwood,18,76,135,0.070588,0.298039,0.529412
7320,Central and Southern Appalachian Montane Oak Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7321,South-Central Interior Mesophytic Forest,Tree,Hardwood,0,38,115,0,0.14902,0.45098
7322,Crowley's Ridge Mesic Loess Slope Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7323,West Gulf Coastal Plain Mesic Hardwood Forest,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7324,Northern Atlantic Coastal Plain Hardwood Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7325,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Tree,Hardwood,159,255,128,0.623529,1,0.501961
7326,South-Central Interior / Upper Coastal Plain Flatwoods,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7327,East Gulf Coastal Plain Northern Loess Bluff Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7328,Southern Coastal Plain Limestone Forest,Tree,Hardwood,100,204,206,0.392157,0.8,0.807843
7329,East Gulf Coastal Plain Southern Loess Bluff Forest,Tree,Hardwood,100,204,206,0.392157,0.8,0.807843
7330,Southern Coastal Plain Dry Upland Hardwood Forest,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7331,Eastern Great Plains Tallgrass Aspen Forest and Woodland,Tree,Hardwood,192,255,138,0.752941,1,0.541176
7333,South Florida Hardwood Hammock,Tree,Hardwood,60,113,126,0.235294,0.443137,0.494118
7334,Ozark-Ouachita Mesic Hardwood Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7335,Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7336,Southwest Florida Maritime Hammock,Tree,Hardwood,60,113,126,0.235294,0.443137,0.494118
7337,Southeast Florida Maritime Hammock,Tree,Hardwood,60,113,126,0.235294,0.443137,0.494118
7338,Central and South Texas Coastal Fringe Forest and Woodland,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7339,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7340,Appalachian Shale Barrens,Tree,Conifer-Hardwood,82,52,34,0.321569,0.203922,0.133333
7342,Piedmont Hardpan Woodland and Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7343,Southern Atlantic Coastal Plain Mesic Hardwood Forest,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7346,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7347,Atlantic Coastal Plain Upland Longleaf Pine Woodland,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7348,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7349,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7350,Central and Southern Appalachian Spruce-Fir Forest,Tree,Conifer,159,255,128,0.623529,1,0.501961
7351,Southeastern Interior Longleaf Pine Woodland,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7352,Southern Appalachian Montane Pine Forest and Woodland,Tree,Conifer,13,69,133,0.05098,0.270588,0.521569
7353,Southern Appalachian Low-Elevation Pine Forest,Tree,Conifer,10,61,128,0.039216,0.239216,0.501961
7354,Northeastern Interior Pine Barrens,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7355,Northern Atlantic Coastal Plain Pitch Pine Barrens,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7356,Florida Longleaf Pine Sandhill,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7357,Southern Coastal Plain Mesic Slope Forest,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7358,Bastrop Lost Pines Forest and Woodland,Tree,Conifer,85,187,194,0.333333,0.733333,0.760784
7360,South Florida Pine Rockland,Tree,Conifer,13,69,133,0.05098,0.270588,0.521569
7361,Central Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,107,209,206,0.419608,0.819608,0.807843
7362,Laurentian-Acadian Northern Pine Forest,Tree,Conifer,174,245,224,0.682353,0.960784,0.878431
7363,Central Interior Highlands Dry Acidic Glade and Barrens,Tree,Conifer-Hardwood,255,153,0,1,0.6,0
7364,Ozark-Ouachita Dry Oak Woodland,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7366,Laurentian-Acadian Pine-Hemlock Forest,Tree,Conifer,0,92,0,0,0.360784,0
7367,Ozark-Ouachita Shortleaf Pine Forest and Woodland,Tree,Conifer,116,214,190,0.454902,0.839216,0.745098
7368,Southern Piedmont Dry Pine Forest,Tree,Conifer,159,255,128,0.623529,1,0.501961
7369,Central Appalachian Dry Pine Forest,Tree,Conifer,13,69,133,0.05098,0.270588,0.521569
7370,Appalachian Hemlock Forest,Tree,Conifer,0,38,115,0,0.14902,0.45098
7371,West Gulf Coastal Plain Pine Forest,Tree,Conifer,145,255,115,0.568627,1,0.45098
7372,East Gulf Coastal Plain Interior Shortleaf Pine Forest,Tree,Conifer,116,214,190,0.454902,0.839216,0.745098
7373,Acadian Low-Elevation Spruce-Fir Forest,Tree,Conifer,186,54,14,0.729412,0.211765,0.054902
7374,Acadian-Appalachian Montane Spruce-Fir Forest,Tree,Conifer-Hardwood,186,54,14,0.729412,0.211765,0.054902
7375,Eastern Serpentine Woodland,Tree,Conifer-Hardwood,0,38,115,0,0.14902,0.45098
7376,Southern Ridge and Valley / Cumberland Dry Calcareous Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7377,Central Appalachian Pine Rocky Woodland,Tree,Conifer,13,69,133,0.05098,0.270588,0.521569
7378,West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland,Tree,Conifer,116,214,190,0.454902,0.839216,0.745098
7379,Northern Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7380,East Gulf Coastal Plain Maritime Forest,Tree,Hardwood,107,209,206,0.419608,0.819608,0.807843
7381,Lower Mississippi River Dune Woodland and Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7382,Southern Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,107,209,206,0.419608,0.819608,0.807843
7383,Edwards Plateau Limestone Savanna and Woodland,Tree,Hardwood,34,109,153,0.133333,0.427451,0.6
7384,Mississippi Delta Maritime Forest,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7385,Great Plains Wooded Draw and Ravine Woodland,Tree,Riparian,128,97,69,0.501961,0.380392,0.270588
7386,Acadian-Appalachian Alpine Tundra Shrubland,Shrub,Shrubland,82,52,34,0.321569,0.203922,0.133333
7387,Florida Peninsula Inland Scrub Shrubland,Shrub,Shrubland,145,255,115,0.568627,1,0.45098
7389,Acadian-Appalachian Subalpine Woodland,Tree,Conifer,82,52,34,0.321569,0.203922,0.133333
7390,Tamaulipan Mixed Deciduous Thornscrub,Shrub,Shrubland,82,52,34,0.321569,0.203922,0.133333
7391,Tamaulipan Mesquite Upland Woodland,Tree,Hardwood,82,52,34,0.321569,0.203922,0.133333
7392,Tamaulipan Calcareous Thornscrub,Shrub,Shrubland,82,52,34,0.321569,0.203922,0.133333
7393,Edwards Plateau Limestone Shrubland,Shrub,Shrubland,34,109,153,0.133333,0.427451,0.6
7394,North-Central Interior Oak Savanna,Tree,Hardwood,6,53,122,0.023529,0.207843,0.478431
7395,North-Central Oak Barrens Woodland,Tree,Hardwood,44,127,163,0.172549,0.498039,0.639216
7396,Great Plains Wooded Draw and Ravine Shrubland,Shrub,Riparian,128,97,69,0.501961,0.380392,0.270588
7397,Nashville Basin Limestone Glade and Woodland,Tree,Conifer-Hardwood,82,52,34,0.321569,0.203922,0.133333
7398,Cumberland Sandstone Glade and Barrens,Tree,Conifer-Hardwood,82,52,34,0.321569,0.203922,0.133333
7399,Northern Atlantic Coastal Plain Grassland,Herb,Grassland,240,165,46,0.941176,0.647059,0.180392
7400,Central Appalachian Alkaline Glade and Woodland,Tree,Conifer-Hardwood,82,52,34,0.321569,0.203922,0.133333
7401,Central Interior Highlands Calcareous Glade and Barrens Woodland,Tree,Conifer-Hardwood,255,153,0,1,0.6,0
7403,West Gulf Coastal Plain Catahoula Barrens,Tree,Conifer-Hardwood,116,214,204,0.454902,0.839216,0.8
7405,West Gulf Coastal Plain Nepheline Syenite Glade,Tree,Conifer-Hardwood,255,153,0,1,0.6,0
7406,Southern Piedmont Dry Oak Forest,Tree,Hardwood,159,255,128,0.623529,1,0.501961
7407,Laurentian Pine Barrens,Tree,Conifer,174,245,224,0.682353,0.960784,0.878431
7408,Alabama Ketona Glade and Woodland,Tree,Conifer-Hardwood,82,52,34,0.321569,0.203922,0.133333
7409,Great Lakes Alvar,Herb,Grassland,216,216,191,0.847059,0.847059,0.74902
7410,Llano Uplift Acidic Forest and Woodland,Tree,Conifer-Hardwood,34,109,153,0.133333,0.427451,0.6
7411,Great Lakes Wet-Mesic Lakeplain Prairie,Herb,Riparian,255,92,38,1,0.360784,0.14902
7412,North-Central Interior Sand and Gravel Tallgrass Prairie,Herb,Grassland,255,137,64,1,0.537255,0.25098
7413,Bluegrass Savanna and Woodland Prairie,Herb,Grassland,82,52,34,0.321569,0.203922,0.133333
7414,Southern Appalachian Shrub Bald,Shrub,Shrubland,82,52,34,0.321569,0.203922,0.133333
7415,Arkansas Valley Prairie,Herb,Grassland,255,153,0,1,0.6,0
7416,Western Highland Rim Prairie and Barrens,Herb,Grassland,82,52,34,0.321569,0.203922,0.133333
7417,Eastern Highland Rim Prairie and Barrens,Herb,Grassland,82,52,34,0.321569,0.203922,0.133333
7418,Pennyroyal Karst Plain Prairie and Barrens,Herb,Grassland,82,52,34,0.321569,0.203922,0.133333
7419,Southern Ridge and Valley Patch Prairie,Herb,Grassland,82,52,34,0.321569,0.203922,0.133333
7420,Northern Tallgrass Prairie,Herb,Grassland,255,137,64,1,0.537255,0.25098
7421,Central Tallgrass Prairie,Herb,Grassland,255,137,64,1,0.537255,0.25098
7422,Texas Blackland Tallgrass Prairie,Herb,Grassland,255,148,71,1,0.580392,0.278431
7423,Southeastern Great Plains Tallgrass Prairie,Herb,Grassland,255,137,64,1,0.537255,0.25098
7424,East-Central Texas Plains Xeric Sandyland,Herb,Grassland,255,153,0,1,0.6,0
7425,Florida Dry Prairie Grassland,Herb,Grassland,116,214,204,0.454902,0.839216,0.8
7426,Southern Atlantic Coastal Plain Dune and Maritime Grassland,Herb,Grassland,255,153,0,1,0.6,0
7428,West Gulf Coastal Plain Northern Calcareous Prairie,Herb,Grassland,255,148,71,1,0.580392,0.278431
7429,West Gulf Coastal Plain Southern Calcareous Prairie,Herb,Grassland,255,148,71,1,0.580392,0.278431
7430,Southern Coastal Plain Blackland Prairie,Herb,Grassland,0,38,115,0,0.14902,0.45098
7431,Southwest Florida Dune and Coastal Grassland,Herb,Grassland,255,153,0,1,0.6,0
7434,Texas-Louisiana Coastal Prairie,Herb,Riparian,255,137,64,1,0.537255,0.25098
7435,East Gulf Coastal Plain Dune and Coastal Grassland,Herb,Grassland,255,153,0,1,0.6,0
7436,Northern Atlantic Coastal Plain Dune and Swale Shrubland,Shrub,Shrubland,255,98,41,1,0.384314,0.160784
7437,Texas Coast Dune and Coastal Grassland,Herb,Grassland,255,153,0,1,0.6,0
7438,Tamaulipan Savanna Grassland,Herb,Grassland,82,52,34,0.321569,0.203922,0.133333
7439,Tamaulipan Lomas,Shrub,Shrubland,255,171,87,1,0.670588,0.341176
7441,Bluegrass Savanna and Woodland,Tree,Hardwood,82,52,34,0.321569,0.203922,0.133333
7442,Arkansas Valley Prairie and Woodland,Tree,Hardwood,255,153,0,1,0.6,0
7444,Eastern Boreal Floodplain Woodland,Tree,Riparian,50,137,168,0.196078,0.537255,0.658824
7445,South Florida Dwarf Cypress Savanna,Tree,Riparian,91,195,199,0.356863,0.764706,0.780392
7446,South Florida Pine Flatwoods,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7447,South Florida Cypress Dome,Tree,Riparian,91,195,199,0.356863,0.764706,0.780392
7448,Southern Piedmont Dry Oak-(Pine) Forest,Tree,Conifer-Hardwood,159,255,128,0.623529,1,0.501961
7449,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tree,Riparian,116,214,204,0.454902,0.839216,0.8
7450,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Tree,Riparian,116,214,204,0.454902,0.839216,0.8
7451,West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tree,Riparian,116,214,204,0.454902,0.839216,0.8
7452,Atlantic Coastal Plain Peatland Pocosin and Canebrake Woodland,Tree,Riparian,91,195,199,0.356863,0.764706,0.780392
7453,Central Florida Pine Flatwoods,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7454,East Gulf Coastal Plain Near-Coast Pine Flatwoods,Tree,Conifer,116,214,204,0.454902,0.839216,0.8
7455,East Gulf Coastal Plain Southern Loblolly Flatwoods,Tree,Conifer,100,204,206,0.392157,0.8,0.807843
7456,Northern Atlantic Coastal Plain Pitch Pine Lowland,Tree,Riparian,116,214,204,0.454902,0.839216,0.8
7457,South-Central Interior / Upper Coastal Plain Wet Flatwoods,Tree,Riparian,145,255,115,0.568627,1,0.45098
7458,West Gulf Coastal Plain Pine Flatwoods,Tree,Conifer,145,255,115,0.568627,1,0.45098
7459,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,Tree,Riparian,91,195,199,0.356863,0.764706,0.780392
7460,Southern Coastal Plain Nonriverine Cypress Dome,Tree,Riparian,91,195,199,0.356863,0.764706,0.780392
7461,Southern Coastal Plain Seepage Swamp and Baygall Woodland,Tree,Riparian,216,216,191,0.847059,0.847059,0.74902
7462,West Gulf Coastal Plain Seepage Swamp and Baygall,Tree,Riparian,216,216,191,0.847059,0.847059,0.74902
7463,Central Appalachian Dry Oak Forest,Tree,Hardwood,13,69,133,0.05098,0.270588,0.521569
7464,Acadian Sub-Boreal Spruce Barrens,Tree,Conifer,186,163,119,0.729412,0.639216,0.466667
7465,Acadian Sub-Boreal Spruce Flat,Tree,Conifer,186,54,14,0.729412,0.211765,0.054902
7466,Great Lakes Wooded Dune and Swale,Tree,Riparian,174,245,224,0.682353,0.960784,0.878431
7467,Tamaulipan Floodplain Woodland,Tree,Riparian,6,53,122,0.023529,0.207843,0.478431
7468,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Woodland,Tree,Riparian,216,216,191,0.847059,0.847059,0.74902
7469,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Shrubland,Shrub,Riparian,216,216,191,0.847059,0.847059,0.74902
7471,Southwest Florida Coastal Strand Shrubland,Shrub,Shrubland,60,113,126,0.235294,0.443137,0.494118
7472,Southeast Florida Coastal Strand Shrubland,Shrub,Shrubland,60,113,126,0.235294,0.443137,0.494118
7474,Tamaulipan Floodplain Shrubland,Shrub,Riparian,6,53,122,0.023529,0.207843,0.478431
7475,Tamaulipan Floodplain Herbaceous ,Herb,Riparian,6,53,122,0.023529,0.207843,0.478431
7476,Tamaulipan Riparian Woodland,Tree,Riparian,6,53,122,0.023529,0.207843,0.478431
7481,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,Riparian,50,137,168,0.196078,0.537255,0.658824
7482,Great Plains Prairie Pothole,Herb,Riparian,91,195,199,0.356863,0.764706,0.780392
7483,South Florida Everglades Sawgrass Marsh,Herb,Riparian,255,153,0,1,0.6,0
7484,South Florida Wet Marl Prairie,Herb,Riparian,255,153,0,1,0.6,0
7485,East Gulf Coastal Plain Wet Prairie,Herb,Riparian,255,153,0,1,0.6,0
7486,Texas Saline Coastal Prairie,Herb,Riparian,255,153,0,1,0.6,0
7487,Texas-Louisiana Coastal Prairie Pondshore,Herb,Riparian,255,137,64,1,0.537255,0.25098
7488,Eastern Great Plains Wet Meadow-Prairie-Marsh,Herb,Riparian,91,195,199,0.356863,0.764706,0.780392
7489,Floridian Highlands Freshwater Marsh,Herb,Riparian,255,153,0,1,0.6,0
7500,South Texas Salt and Brackish Tidal Flat,Sparse,Sparsely Vegetated,100,100,100,0.392157,0.392157,0.392157
7501,Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tree,Riparian,216,216,191,0.847059,0.847059,0.74902
7502,Central Appalachian Dry Oak-Pine Forest,Tree,Conifer-Hardwood,13,69,133,0.05098,0.270588,0.521569
7503,Chihuahuan Loamy Plains Desert Grassland,Herb,Grassland,255,204,51,1,0.8,0.2
7504,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,Herb,Riparian,255,204,51,1,0.8,0.2
7505,Ouachita Novaculite Glade and Woodland,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7506,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,Tree,Riparian,145,255,115,0.568627,1,0.45098
7507,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,Tree,Conifer,116,214,190,0.454902,0.839216,0.745098
7509,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7510,Crowley's Ridge Sand Forest,Tree,Conifer-Hardwood,116,214,190,0.454902,0.839216,0.745098
7511,Appalachian Northern Hardwood Forest,Tree,Hardwood,0,38,115,0,0.14902,0.45098
7512,Appalachian (Hemlock)-Northern Hardwood Forest,Tree,Conifer-Hardwood,0,38,115,0,0.14902,0.45098
7513,Lower Mississippi River Flatwoods,Tree,Riparian,145,255,115,0.568627,1,0.45098
7514,Central Florida Herbaceous Pondshore,Herb,Riparian,255,153,0,1,0.6,0
7515,Southern Coastal Plain Herbaceous Seep and Bog,Herb,Riparian,255,153,0,1,0.6,0
7516,Atlantic Coastal Plain Sandhill Seep,Herb,Riparian,255,153,0,1,0.6,0
7517,Paleozoic Plateau Bluff and Talus Woodland,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7518,North-Central Interior Wet Flatwoods,Tree,Riparian,145,255,115,0.568627,1,0.45098
7519,East-Central Texas Plains Post Oak Savanna and Woodland,Tree,Hardwood,85,187,194,0.333333,0.733333,0.760784
7522,Northern Atlantic Coastal Plain Heathland,Shrub,Shrubland,240,165,46,0.941176,0.647059,0.180392
7523,Edwards Plateau Dry-Mesic Slope Forest and Woodland,Tree,Conifer-Hardwood,34,109,153,0.133333,0.427451,0.6
7524,Edwards Plateau Mesic Canyon,Tree,Hardwood,34,109,153,0.133333,0.427451,0.6
7525,Edwards Plateau Riparian Forest and Woodland,Tree,Riparian,6,53,122,0.023529,0.207843,0.478431
7527,East Gulf Coastal Plain Interior Oak Forest,Tree,Hardwood,116,214,190,0.454902,0.839216,0.745098
7545,East Gulf Coastal Plain Near-Coast Pine Wet Flatwoods,Tree,Riparian,116,214,204,0.454902,0.839216,0.8
7546,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Tree,Conifer-Hardwood,116,214,190,0.454902,0.839216,0.745098
7547,Central Florida Pine Wet Flatwoods,Tree,Riparian,116,214,204,0.454902,0.839216,0.8
7548,South Florida Pine Wet Flatwoods,Tree,Riparian,116,214,204,0.454902,0.839216,0.8
7554,Acadian Low-Elevation Hardwood Forest,Tree,Hardwood,186,54,14,0.729412,0.211765,0.054902
7555,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Tree,Conifer-Hardwood,186,54,14,0.729412,0.211765,0.054902
7556,Central Appalachian Oak Rocky Woodland,Tree,Hardwood,13,69,133,0.05098,0.270588,0.521569
7557,Central Appalachian Pine-Oak Rocky Woodland,Tree,Conifer-Hardwood,13,69,133,0.05098,0.270588,0.521569
7560,Tamaulipan Mesquite Upland Scrub,Shrub,Shrubland,82,52,34,0.321569,0.203922,0.133333
7561,Llano Uplift Acidic Herbaceous Glade,Herb,Grassland,34,109,153,0.133333,0.427451,0.6
7562,Tamaulipan Riparian Shrubland,Shrub,Riparian,6,53,122,0.023529,0.207843,0.478431
7563,Edwards Plateau Riparian Shrubland,Shrub,Riparian,6,53,122,0.023529,0.207843,0.478431
7564,Edwards Plateau Riparian Herbaceous,Herb,Riparian,6,53,122,0.023529,0.207843,0.478431
7565,Florida Peninsula Inland Scrub Woodland,Tree,Conifer,145,255,115,0.568627,1,0.45098
7566,Florida Dry Prairie Shruband,Shrub,Shrubland,116,214,204,0.454902,0.839216,0.8
7567,Southern Coastal Plain Blackland Prairie Woodland,Tree,Conifer-Hardwood,0,38,115,0,0.14902,0.45098
7571,Southern Coastal Plain Seepage Swamp and Baygall Shrubland,Shrub,Riparian,216,216,191,0.847059,0.847059,0.74902
7573,Tamaulipan Riparian Herbaceous,Herb,Riparian,6,53,122,0.023529,0.207843,0.478431
7578,East Gulf Coastal Plain Wet Savanna,Tree,Riparian,255,153,0,1,0.6,0
7582,Ozark-Ouachita Oak Forest and Woodland,Tree,Hardwood,116,214,190,0.454902,0.839216,0.745098
7583,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,Tree,Conifer-Hardwood,116,214,190,0.454902,0.839216,0.745098
7584,West Gulf Coastal Plain Hardwood Forest,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7585,West Gulf Coastal Plain Pine-Hardwood Forest,Tree,Conifer-Hardwood,145,255,115,0.568627,1,0.45098
7586,West Gulf Coastal Plain Sandhill Oak Forest and Woodland,Tree,Hardwood,116,214,190,0.454902,0.839216,0.745098
7587,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,Tree,Conifer-Hardwood,116,214,190,0.454902,0.839216,0.745098
7588,East Gulf Coastal Plain Southern Hardwood Flatwoods,Tree,Hardwood,100,204,206,0.392157,0.8,0.807843
7589,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,Tree,Conifer-Hardwood,100,204,206,0.392157,0.8,0.807843
7590,West Gulf Coastal Plain Hardwood Flatwoods,Tree,Hardwood,145,255,115,0.568627,1,0.45098
7591,West Gulf Coastal Plain Pine-Hardwood Flatwoods,Tree,Conifer-Hardwood,145,255,115,0.568627,1,0.45098
7662,Temperate Pacific Freshwater Emergent Marsh,Herb,Riparian,255,153,0,1,0.6,0
7663,North Pacific Shrub Swamp,Shrub,Shrubland,166,76,17,0.65098,0.298039,0.066667
7668,Temperate Pacific Tidal Salt and Brackish Marsh,Herb,Riparian,255,153,10,1,0.6,0.039216
7669,Temperate Pacific Intertidal Flat,Sparse,Sparsely Vegetated,100,100,100,0.392157,0.392157,0.392157
7733,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparse,Sparsely Vegetated,100,100,100,0.392157,0.392157,0.392157
7734,North Pacific Alpine and Subalpine Bedrock and Scree,Sparse,Sparsely Vegetated,100,100,100,0.392157,0.392157,0.392157
7735,North American Glacier and Ice Field,Snow-Ice,Snow-Ice,159,161,240,0.623529,0.631373,0.941176
7736,Unconsolidated Shore,Sparse,Sparsely Vegetated,100,100,100,0.392157,0.392157,0.392157
7737,North American Glacial Outwash,Sparse,Sparsely Vegetated,100,100,100,0.392157,0.392157,0.392157
